,brand,model,model_target_ratings
505,tripollar,STOP,"{'功能': {'上妆': 80.76, '保湿': 28.87, '变白': 0.0, '嫩肤': 0.0, '微热': 0.0, '抗皱': 0.0, '提拉': 81.78, '水嫩': 47.96, '水润': 0.0, '水肿': 47.96, '水雾': 28.87, '滑嫩': 0.0, '痘印': 45.4, '瘦脸': 59.73, '眼袋': 79.16, '祛皱': 86.43, '笑纹': 0.0, '紧致': 92.04, '细纹': 85.11, '血丝': 0.0, '补水': 42.07, '通透': 69.31, '光泽度': 83.01, '去角质': 0.0, '去黑头': 27.37, '抬头纹': 77.01, '法令纹': 91.39, '白嫩嫩': 0.0, '表情纹': 0.0, '黑眼圈': 33.8, '效果显著': 0.0, '毛孔粗大': 37.51, '温度控制': 0.0, '皮肤过敏': 0.0}, '服务': {'信誉': 47.96, '包装': 80.6, '包裹': 45.4, '卖家': 80.13, '发货': 0.0, '口碑': 0.0, '客服': 91.25, '态度': 82.22, '良心': 0.0, '顺丰': 77.95, '说明书': 39.99, '售后服务': 64.01, '有问必答': 83.01, '服务到位': 0.0}, '款式': {'三档': 33.8, '体积': 53.06, '便携': 27.53, '尺寸': 0.0, '机身': 84.52, '激光': 47.96, '白色': 80.76, '磨砂': 0.0, '粉色': 69.31, '红灯': 0.0, '红色': 47.96, '纹路': 59.73, '线条': 53.06, '蓝色': 0.0, '触感': 0.0, '金色': 0.0, '面积': 53.06, '颜色': 32.4, '黑色': 83.01, '粉红色': 37.51, '胶原蛋白': 0.0}, '质量': {'亮度': 0.0, '假货': 47.96, '做工': 54.93, '光照': 54.77, '刺痛': 47.96, '力道': 32.7, '功率': 37.51, '吸力': 18.04, '声音': 49.51, '射频': 83.01, '接口': 37.51, '插座': 0.0, '材质': 34.96, '温控': 0.0, '电源': 0.0, '红红': 0.0, '触头': 0.0, '质感': 83.98, '质量': 51.23, '配件': 28.02, '重量': 47.96, '最高档': 0.0, '期望值': 0.0, '气色好': 0.0, '耐受性': 0.0}}"
506,tripollar,STOP V,"{'功能': {'提拉': 23.62, '痘印': 28.87, '白亮': 0.0, '祛皱': 39.66, '紧致': 44.64, '细纹': 28.87, '色斑': 0.0, '抬头纹': 50.0, '法令纹': 48.73}, '服务': {'包装': 37.56, '卖家': 12.87, '客服': 45.39, '态度': 32.4, '产品描述': 0.0, '售后服务': 16.74}, '款式': {'体积': 53.06, '按键': 53.06, '时尚': 37.51, '机身': 28.02, '电流': 24.48, '红灯': 0.0, '线条': 37.51, '绿色': 0.0, '蓝光': 34.48, '蓝色': 0.0, '颜色': 36.69, '胶原蛋白': 0.0}, '质量': {'做工': 31.1, '刺痛': 47.96, '功率': 31.87, '声音': 49.51, '外壳': 0.0, '接口': 83.01, '材质': 34.96, '火力': 0.0, '瑕疵': 58.23, '电源': 0.0, '质感': 57.61, '质量': 14.18, '重量': 69.31, '充电器': 0.0, '升级版': 0.0, '安全性': 0.0, '耐受性': 0.0}}"
507,tripollar,STOP J-BLUE 尊享版,"{'功能': {'上妆': 55.26, '保湿': 28.87, '干纹': 0.0, '微热': 0.0, '提拉': 39.99, '水嫩': 18.58, '水肿': 47.96, '泛红': 0.0, '痘印': 41.51, '瘦脸': 42.07, '眼袋': 53.06, '祛皱': 69.31, '紧致': 75.62, '细纹': 60.87, '补水': 32.7, '光泽度': 47.96, '去角质': 0.0, '抬头纹': 37.51, '汗毛孔': 0.0, '法令纹': 79.92, '鱼尾纹': 0.0, '黑眼圈': 47.96, '毛孔粗大': 37.51}, '服务': {'包装': 53.84, '卖家': 39.71, '口碑': 0.0, '客服': 73.05, '态度': 52.88, '系统': 0.0, '顺丰': 47.96, '说明书': 39.99, '办事效率': 0.0, '售后服务': 64.01, '有问必答': 37.51, '服务到位': 0.0}, '款式': {'体积': 53.06, '便携': 21.77, '大气': 69.31, '时尚': 47.96, '机身': 76.26, '档位': 50.0, '白色': 37.51, '粉色': 52.04, '纹路': 50.87, '蓝色': 0.0, '触感': 0.0, '面积': 37.51, '颜色': 54.76, '黑色': 53.06, '指示灯': 0.0, '高大上': 0.0, '待机时间': 0.0, '方便使用': 0.0, '胶原蛋白': 0.0}, '质量': {'亮度': 0.0, '做工': 27.34, '光照': 41.07, '吸力': 13.74, '声音': 60.25, '外壳': 0.0, '材质': 34.96, '温控': 0.0, '电源': 0.0, '疗效': 0.0, '盖子': 0.0, '质感': 73.7, '质量': 37.25, '重量': 69.31, '升级版': 0.0, '提示音': 0.0, '期望值': 0.0, '灵敏度': 47.96, '耐受性': 0.0, '生产日期': 0.0}}"
508,tripollar,STOP J-BLUE+ARDEN,
509,tripollar,STOP 尊享版,"{'功能': {'紧致': 19.66, '法令纹': 13.48, '皮肤过敏': 0.0}, '服务': {'包装': 15.28, '态度': 11.47}, '款式': {}, '质量': {'质量': 12.89}}"
510,tripollar,STOP+POSE,"{'功能': {'提拉': 34.96, '紧致': 23.79, '细纹': 24.02, '腰围': 0.0, '防晒': 0.0, '抬头纹': 43.86, '法令纹': 34.24, '黑眼圈': 33.8}, '服务': {'包装': 24.19, '口碑': 0.0, '客服': 32.71, '态度': 26.36, '顺丰': 41.07, '说明书': 29.57, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'弧度': 0.0, '机身': 34.48, '粉色': 30.69, '触感': 0.0, '金色': 0.0, '面积': 53.06}, '质量': {'主机': 0.0, '做工': 29.28, '功率': 53.06, '接口': 69.31, '插座': 0.0, '电源': 0.0, '触头': 0.0, '质感': 31.53, '质量': 9.92, '最高档': 0.0}}"
511,tripollar,STOP粉色,"{'功能': {'上妆': 32.7, '干纹': 0.0, '提拉': 34.96, '水嫩': 22.28, '眼袋': 45.4, '祛皱': 43.86, '紧致': 33.07, '细纹': 37.51, '去角质': 0.0, '实用性': 32.7, '抬头纹': 50.0, '法令纹': 67.42, '鱼尾纹': 0.0}, '服务': {'包换': 0.0, '包装': 38.02, '卖家': 34.43, '客服': 54.88, '态度': 39.57, '说明书': 29.57, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'新品': 0.0, '机身': 57.28, '档位': 37.51, '粉色': 79.9, '线条': 37.51, '面积': 45.4, '颜色': 34.61, '指示灯': 0.0, '粉红色': 47.96}, '质量': {'做工': 31.1, '插座': 0.0, '材质': 39.99, '电源': 0.0, '质感': 22.49, '质量': 25.7, '含水量': 0.0, '耐受性': 0.0}}"
512,u·yun/优蕴,C-066,{'款式': {'电流': 28.02}}
513,vinas/维娜丝,HT-02,"{'功能': {'水嫩': 22.28, '水雾': 18.58, '污垢': 18.23, '洁面': 28.87, '瘦脸': 42.07, '粉刺': 75.64, '草莓': 0.0, '补水': 64.38, '雾化': 45.4, '去黑头': 78.03, '清洁度': 50.0, '脂肪粒': 66.51, '效果显著': 0.0}, '服务': {'包装': 62.42, '包裹': 37.51, '卖家': 66.85, '客服': 64.11, '态度': 71.76, '语气': 0.0, '运费': 0.0, '顺丰': 41.07, '说明书': 39.99, '售后服务': 34.96, '服务到位': 0.0}, '款式': {'体积': 28.87, '可调': 0.0, '吸头': 37.51, '大气': 33.8, '形状': 0.0, '按键': 45.4, '机身': 28.02, '档位': 50.0, '结构': 0.0, '颜色': 36.69, '小气泡': 46.1, '玫瑰金': 0.0, '待机时间': 0.0}, '质量': {'做工': 25.22, '功率': 42.82, '动力': 37.51, '变粗': 0.0, '吸力': 67.67, '声音': 60.25, '外壳': 0.0, '好痛': 0.0, '接口': 69.31, '材质': 16.74, '瑕疵': 58.23, '用电': 0.0, '盖子': 0.0, '质感': 31.53, '质量': 61.39, '配件': 40.43, '期望值': 0.0, '稳定性': 0.0}}"
514,w ion beau,三代,"{'功能': {}, '服务': {'包装': 14.09}, '款式': {'颜色': 21.31}}"
515,w ion beau,负离子美容仪,"{'功能': {'上妆': 27.53}, '服务': {'包装': 14.09, '卖家': 12.87, '态度': 13.07}, '质量': {'瑕疵': 58.23, '质量': 12.89}}"
516,wellbox,102036606,
517,wellbox,102036600,"{'服务': {'包装': 17.44, '卖家': 15.64, '客服': 27.37, '态度': 20.34, '顺丰': 41.07}, '款式': {'吸头': 32.7, '美观大方': 0.0}, '质量': {'做工': 29.28, '功率': 31.87, '吸力': 16.03, '声音': 44.24, '质感': 31.53, '重量': 37.51, '期望值': 0.0}}"
518,wellbox,102036603,"{'服务': {'态度': 11.47}, '质量': {'吸力': 13.74, '声音': 49.51, '质量': 12.89}}"
519,ya-man/雅萌,10T/11T/QUEEN,"{'功能': {'上妆': 27.53, '提拉': 29.57, '水嫩': 18.58, '污垢': 31.16, '细纹': 28.87}, '服务': {'包装': 16.39, '卖家': 18.01, '客服': 25.85, '态度': 15.85, '顺丰': 54.77, '说明书': 29.57, '有问必答': 37.51}, '款式': {'电流': 28.02, '离子': 0.0}, '质量': {'质感': 46.76, '质量': 17.53}}"
520,ya-man/雅萌,EP-9P,"{'功能': {'提拉': 29.57, '水肿': 47.96, '眼袋': 45.4, '紧致': 23.79, '细纹': 24.02, '黑眼圈': 33.8, '血液循环': 0.0}, '服务': {'包装': 24.9, '卖家': 15.64, '客服': 27.37, '态度': 25.59, '说明书': 29.57}, '款式': {'体积': 45.4, '便携': 32.7, '机型': 0.0, '机身': 34.48, '档位': 43.86, '电流': 40.43, '粉色': 30.69, '金色': 0.0, '颜色': 34.61}, '质量': {'做工': 34.46, '滚珠': 0.0, '质感': 35.56, '质量': 17.53, '技术含量': 0.0}}"
521,ya-man/雅萌,HRF-10T,"{'功能': {'上妆': 69.31, '保湿': 69.31, '冰敷': 83.01, '嫩肤': 0.0, '干纹': 0.0, '提拉': 75.13, '水嫩': 25.69, '水肿': 47.96, '污垢': 70.39, '洁面': 37.51, '痘印': 41.51, '瘦脸': 42.07, '眼袋': 45.4, '祛皱': 30.69, '粉刺': 37.51, '紧致': 44.64, '细纹': 33.32, '补水': 32.7, '贴合': 0.0, '赘肉': 0.0, '雾霾': 0.0, '光泽度': 69.31, '去角质': 0.0, '去黑头': 31.46, '法令纹': 52.58, '黑眼圈': 41.07, '干性皮肤': 0.0, '毛孔粗大': 25.69}, '服务': {'包装': 63.35, '包裹': 37.51, '卖家': 62.45, '口碑': 0.0, '客服': 78.03, '态度': 64.35, '换货': 0.0, '直邮': 0.0, '顺丰': 54.77, '说明书': 59.03, '售后服务': 39.99, '有问必答': 58.23}, '款式': {'三档': 77.95, '大气': 41.07, '按键': 45.4, '机身': 51.67, '档位': 37.51, '樱花': 0.0, '电波': 0.0, '电流': 54.46, '粉色': 43.86, '红光': 79.9, '线条': 28.87, '经典': 0.0, '蓝光': 46.1, '触感': 0.0, '面积': 18.58, '颜色': 27.46, '黄色': 0.0, '黑色': 58.23, '充电式': 0.0, '红外线': 0.0, '待机时间': 0.0}, '质量': {'做工': 44.49, '光照': 69.31, '力道': 32.7, '功率': 31.87, '变粗': 0.0, '吸力': 16.03, '声音': 46.02, '强度': 45.4, '接口': 47.96, '服贴': 0.0, '瑕疵': 37.51, '电源': 0.0, '质保': 0.0, '质感': 78.52, '质量': 32.8, '配件': 28.02, '重量': 83.01, '颗粒': 0.0, '耐受性': 0.0}}"
522,ya-man/雅萌,HRF-10T PLUS,"{'功能': {'冰敷': 25.69}, '服务': {'包装': 17.44, '卖家': 15.64, '态度': 14.52}, '款式': {'红光': 43.86, '颜色': 21.31}}"
523,ya-man/雅萌,HRF-10T-PRO,"{'功能': {'冰敷': 25.69, '去黑头': 30.16}, '服务': {'包装': 22.71, '卖家': 18.01, '客服': 33.91, '态度': 29.87, '素质': 0.0, '顺丰': 47.96, '说明书': 29.57}, '款式': {'红光': 43.86, '颜色': 21.31, '产品设计': 0.0}, '质量': {'质感': 35.56, '质量': 12.89}}"
524,ya-man/雅萌,HRF-10T/11T,"{'功能': {'上妆': 37.51, '保湿': 37.51, '冰敷': 58.23, '嫩肤': 0.0, '干纹': 0.0, '微热': 0.0, '提拉': 16.74, '水嫩': 18.58, '水润': 0.0, '污垢': 35.87, '洁面': 28.87, '痘印': 33.32, '祛皱': 35.3, '紧致': 38.02, '去黑头': 25.85, '实用性': 50.87, '法令纹': 22.73}, '服务': {'包装': 28.16, '卖家': 45.47, '客服': 31.46, '态度': 36.96, '退换货': 0.0, '有问必答': 37.51}, '款式': {'机身': 40.43, '档位': 30.69, '电流': 51.67, '粉色': 30.69, '红光': 47.96, '经典': 0.0, '颜色': 24.6, '红外线': 0.0}, '质量': {'假货': 69.31, '做工': 32.82, '吸力': 13.74, '强度': 18.58, '质感': 39.41, '质量': 19.46, '音质': 0.0, '刺激性': 0.0}}"
525,ya-man/雅萌,HRF-11,"{'功能': {'上妆': 55.26, '伤疤': 0.0, '保湿': 37.51, '冰敷': 75.64, '嫩肤': 0.0, '提拉': 44.81, '水嫩': 37.51, '水润': 0.0, '污垢': 44.0, '泛红': 0.0, '痘印': 56.92, '眼袋': 53.06, '祛皱': 35.3, '粉刺': 31.87, '紧致': 46.73, '细纹': 37.51, '补水': 32.7, '起皮': 0.0, '通透': 58.23, '光泽度': 37.51, '去黑头': 24.23, '实用性': 50.87, '法令纹': 38.74, '渗透性': 32.7, '脂肪粒': 30.69, '皮肤干燥': 0.0}, '服务': {'包装': 67.31, '包裹': 28.87, '卖家': 34.43, '口碑': 0.0, '客服': 74.59, '态度': 59.12, '消息': 0.0, '申通': 0.0, '运费': 0.0, '顺丰': 33.8, '说明书': 75.13, '售后服务': 16.74, '有问必答': 37.51, '注意事项': 0.0}, '款式': {'三档': 47.96, '体积': 69.31, '大气': 33.8, '尺寸': 0.0, '成分': 0.0, '按键': 45.4, '机身': 34.48, '档位': 43.86, '樱花': 0.0, '电流': 48.89, '红光': 86.43, '红色': 47.96, '线条': 28.87, '蓝光': 84.52, '颜色': 24.6, '风格': 0.0, '黄色': 0.0, '黑色': 53.06, '待机时间': 0.0, '方便使用': 0.0}, '质量': {'做工': 44.49, '光照': 54.77, '力道': 50.87, '吸力': 19.86, '声音': 49.51, '好痛': 0.0, '射频': 47.96, '强度': 53.06, '接口': 69.31, '瑕疵': 58.23, '用电': 0.0, '盖子': 0.0, '质感': 69.31, '质量': 34.84, '费电': 0.0, '重量': 69.31, '充电器': 0.0, '金属头': 0.0, '使用寿命': 0.0, '恢复能力': 0.0, '电池容量': 0.0}}"
526,ya-man/雅萌,HRF-200SK,"{'功能': {}, '款式': {'樱花': 0.0}}"
527,ya-man/雅萌,HRF-200SKR,{'服务': {'卖家': 15.64}}
528,yamany/亚嫚,10T/11T/20SR,
529,ya-man/雅萌,QUEEN X 俊平联合款,"{'功能': {'上妆': 42.07, '保湿': 37.51, '冰敷': 69.31, '提拉': 39.99, '水嫩': 22.28, '污垢': 67.84, '滑嫩': 0.0, '祛皱': 35.3, '粉刺': 25.69, '细纹': 24.02, '补水': 32.7, '光泽度': 37.51, '去黑头': 33.91, '抗衰老': 0.0, '法令纹': 29.09, '清洁度': 37.51, '渗透性': 32.7, '黑眼圈': 33.8, '毛孔粗大': 58.23}, '服务': {'包装': 33.7, '包裹': 37.51, '卖家': 20.11, '客服': 51.08, '态度': 39.57, '顺丰': 41.07, '顾问': 0.0, '说明书': 44.81, '注意事项': 0.0}, '款式': {'三档': 47.96, '按键': 45.4, '玫瑰': 0.0, '电流': 34.48, '离子': 0.0, '粉色': 35.3, '红光': 64.7, '颜色': 34.61, '黑色': 42.82, '玫瑰金': 0.0, '待机时间': 0.0}, '质量': {'亮度': 0.0, '假货': 47.96, '做工': 31.1, '光照': 54.77, '吸力': 13.74, '强度': 45.4, '质感': 39.41, '质量': 17.53, '升级版': 0.0}}"
530,ya-man/雅萌,STA-189P,
531,yamany/亚嫚,20SR,"{'功能': {'水嫩': 18.58}, '服务': {'卖家': 15.64}, '款式': {'樱花': 0.0}}"
532,yamany/亚嫚,HRF-10T,"{'功能': {'污垢': 28.52}, '服务': {'包装': 16.39, '卖家': 15.64, '客服': 18.46, '态度': 17.08, '直邮': 0.0}, '质量': {'做工': 27.34, '质量': 19.46}}"
533,yamany/亚嫚,HRF-20,{'质量': {'做工': 27.34}}
534,yamany/亚嫚,HRF-20N,{'服务': {}}
535,yamany/亚嫚,HRF-20SR,"{'功能': {}, '服务': {'包装': 12.8, '卖家': 20.11, '态度': 11.47}, '质量': {'质量': 12.89}}"
536,yamany/亚嫚,PSM-20SR,{'服务': {'卖家': 20.11}}
537,ydunvie/易科美,A7-IRIS-W,"{'功能': {'上妆': 32.7, '发烫': 0.0, '嫩肤': 0.0, '微针': 0.0, '斑点': 58.23, '水嫩': 22.28, '水润': 0.0, '污垢': 28.52, '痘印': 73.98, '粉刺': 25.69, '细纹': 33.32, '补水': 37.51, '起皮': 0.0, '防晒': 0.0, '去角质': 0.0, '黑眼圈': 41.07}, '服务': {'包装': 33.7, '卖家': 50.97, '客服': 55.85, '态度': 45.9, '顺丰': 54.77, '售后服务': 44.81}, '款式': {'三档': 54.77, '按键': 60.87, '机身': 20.64, '档位': 43.86, '粉色': 47.96, '紫色': 0.0, '金色': 0.0, '颜色': 27.46, '胶原蛋白': 0.0}, '质量': {'做工': 29.28, '刺痛': 58.23, '力道': 50.87, '强度': 45.4, '质感': 69.31, '质量': 22.03, '面料': 0.0, '含水量': 0.0, '安全性': 0.0, '提示音': 0.0, '耐受性': 0.0}}"
538,ydunvie/易科美,A7-ZISE,"{'服务': {'包装': 14.09}, '款式': {'紫色': 0.0}}"
539,ydunvie/易科美,IRIS-Y,"{'功能': {'痘印': 45.4, '祛皱': 35.3, '起皮': 0.0}, '服务': {'包装': 21.1, '包裹': 37.51, '卖家': 12.87, '客服': 27.37, '态度': 19.31, '顺丰': 47.96}, '款式': {'档位': 43.86, '颜色': 21.31}, '质量': {'做工': 27.34, '刺痛': 47.96, '质感': 27.21, '质量': 15.37, '疼痛感': 0.0, '耐受性': 0.0}}"
540,ydunvie/易科美,IRIS-Z,"{'功能': {'上妆': 32.7, '保湿': 37.51, '泛红': 0.0, '痘印': 33.32, '防晒': 0.0, '雀斑': 0.0, '去黑头': 30.16, '法令纹': 22.73, '毛孔粗大': 47.96}, '服务': {'信誉': 58.23, '包装': 23.46, '包裹': 37.51, '卖家': 18.01, '客服': 31.46, '态度': 29.87, '顺丰': 47.96, '说明书': 29.57}, '款式': {'三档': 47.96, '尺寸': 0.0, '樱花': 0.0, '粉色': 35.3, '紫色': 0.0, '颜色': 21.31}, '质量': {'做工': 27.34, '刺痛': 25.69, '功率': 31.87, '强度': 28.87, '瑕疵': 37.51, '质感': 35.56, '质量': 16.49}}"
541,ydunvie/易科美,P5-NOVA,
542,ynd/雅纳达,点痣笔,
543,ydunvie/易科美,纳米激光点阵仪,"{'功能': {'痘印': 53.06}, '服务': {'包装': 14.09, '卖家': 15.64, '态度': 13.07}, '款式': {'粉色': 35.3}, '质量': {'做工': 27.34, '声音': 49.51, '质量': 12.89}}"
544,yos,1104,
545,ykang,YK-1108,"{'功能': {'痘印': 28.87, '去黑头': 30.16}, '服务': {'包装': 14.09, '卖家': 12.87, '客服': 22.48, '态度': 14.52}, '款式': {'离子': 0.0, '颜色': 21.31}, '质量': {'材质': 34.96, '质量': 16.49}}"
546,zlime/致美,HRF-10T,
547,ykang,YK-1516,"{'服务': {'包装': 18.42, '卖家': 15.64, '态度': 15.85}, '款式': {}, '质量': {'质量': 14.18}}"
548,ynd/雅纳达,DZB-01,"{'功能': {'伤疤': 0.0, '黑痣': 0.0, '脂肪粒': 30.69}, '服务': {'信誉': 58.23, '包装': 42.83, '卖家': 46.39, '客服': 49.19, '态度': 48.24, '素质': 0.0, '快递员': 0.0, '说明书': 49.53, '退换货': 0.0, '售后服务': 16.74, '有问必答': 25.69}, '款式': {'按键': 45.4, '机身': 34.48, '档位': 43.86, '激光': 69.31, '电流': 34.48, '粉色': 30.69, '面积': 60.87, '颜色': 30.04}, '质量': {'做工': 31.1, '创面': 0.0, '功率': 53.06, '火力': 0.0, '质量': 43.85, '针头': 80.76, '稳定性': 0.0}}"
549,ynd/雅纳达,扫斑笔,"{'功能': {'屏幕': 58.23, '斑点': 69.31, '死皮': 0.0, '防晒': 0.0, '雀斑': 0.0, '黑痣': 0.0, '老年斑': 0.0, '省时省力': 0.0}, '服务': {'信誉': 69.31, '包装': 65.28, '包裹': 37.51, '卖家': 82.26, '发货': 0.0, '客服': 70.21, '态度': 69.73, '说明书': 54.24, '有问必答': 47.96}, '款式': {'三档': 41.07, '便携': 37.51, '大气': 47.96, '带灯': 0.0, '按键': 45.4, '机身': 51.67, '档位': 50.0, '电流': 34.48, '粉色': 30.69, '线条': 28.87, '触感': 0.0, '面积': 60.87, '颜色': 24.6, '高大上': 0.0}, '质量': {'做工': 51.01, '创面': 0.0, '功率': 75.64, '声音': 54.76, '外壳': 0.0, '强度': 45.4, '火力': 0.0, '用电': 0.0, '设备': 69.31, '质感': 43.13, '质量': 68.84, '配件': 69.31, '针头': 69.31, '升级版': 0.0, '疼痛感': 0.0, '生产日期': 0.0}}"
550,zlime/致美,VEGAS,"{'服务': {'包装': 12.8, '态度': 11.47}}"
551,万邦,10010,"{'服务': {'态度': 11.47}, '质量': {'质量': 12.89}}"
552,万邦,6281,"{'服务': {'包装': 12.8, '卖家': 15.64, '态度': 7.62, '有问必答': 37.51}, '质量': {'质量': 15.37}}"
553,万邦,M-378,"{'功能': {'去黑头': 27.37}, '服务': {'态度': 11.47}, '质量': {'吸力': 27.08, '声音': 47.77, '使用寿命': 0.0}}"
554,万阳,WY-108,"{'功能': {'污垢': 28.52, '洁面': 28.87, '粉刺': 37.51, '去黑头': 38.37, '清洁度': 43.86}, '服务': {'包装': 22.71, '卖家': 20.11, '客服': 18.46, '态度': 23.13, '售后服务': 29.57}, '款式': {'吸头': 32.7, '颜色': 32.4}, '质量': {'做工': 27.34, '吸力': 44.19, '淤青': 0.0, '质量': 32.27}}"
555,丹龙,DL-B552,"{'功能': {'保湿': 28.87, '水嫩': 18.58, '紧致': 19.66, '贴合': 0.0, '实用性': 32.7, '黑眼圈': 33.8}, '服务': {'信誉': 37.51, '包装': 49.79, '包裹': 37.51, '卖家': 36.62, '客服': 37.3, '态度': 57.64, '售后服务': 34.96}, '款式': {'便携': 37.51, '大气': 54.77, '时尚': 37.51, '机身': 34.48, '触感': 0.0, '颜色': 56.55, '风格': 0.0, '按摩器': 37.51, '美观大方': 0.0}, '质量': {'做工': 45.81, '动力': 69.31, '塑料': 0.0, '声音': 17.38, '开关': 59.73, '强度': 79.16, '材质': 29.57, '质感': 46.76, '质量': 54.09, '重量': 58.23, '震动力': 60.87}}"
556,丹龙,DL-B556,"{'功能': {'祛皱': 56.14, '黑眼圈': 15.89, '血液循环': 0.0}, '服务': {'包装': 37.56, '包裹': 37.51, '卖家': 34.43, '发货': 0.0, '客服': 24.23, '态度': 37.49, '售后服务': 49.53}, '款式': {'便携': 27.53, '大气': 41.07, '电流': 28.02, '颜色': 30.04, '按摩器': 45.4}, '质量': {'做工': 36.02, '功率': 31.87, '动力': 62.49, '声音': 40.58, '强度': 45.4, '材质': 34.96, '滚珠': 0.0, '质量': 41.72, '震动力': 45.4}}"
557,丹龙,DL-X601,"{'功能': {'上妆': 27.53, '洁面': 37.51, '粉刺': 42.82, '通透': 37.51, '雾霾': 0.0, '去角质': 0.0, '去黑头': 13.27}, '服务': {'包装': 43.67, '卖家': 26.83, '客服': 45.39, '态度': 41.58, '顺丰': 33.8, '售后服务': 29.57}, '款式': {'体积': 45.4, '时尚': 37.51, '白色': 50.87, '硅胶': 0.0, '粉色': 56.14, '颜色': 54.76, '黑色': 58.23, '充电式': 0.0, '按摩器': 37.51, '粉红色': 69.31, '高大上': 0.0, '待机时间': 0.0}, '质量': {'做工': 31.1, '刷毛': 74.69, '塑料': 0.0, '声音': 56.55, '插座': 0.0, '毛质': 0.0, '质感': 53.96, '质量': 32.8}}"
